group: thresh_pba_dfs
root: dow_jones
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.001637   
1998-01-02 15:00:00+00:00                  -0.000753   
1998-01-02 16:00:00+00:00                  -0.000126   
1998-01-02 17:00:00+00:00                   0.002423   
1998-01-02 18:00:00+00:00                  -0.002323   
1998-01-02 19:00:00+00:00                  -0.000913   
1998-01-02 20:00:00+00:00                   0.005700   
1998-01-02 21:00:00+00:00                   0.001126   
1998-01-05 14:00:00+00:00                  -0.000407   
1998-01-05 15:00:00+00:00                   0.004067   
1998-01-05 16:00:00+00:00                   0.004205   
1998-01-05 17:00:00+00:00                  -0.004126   
1998-01-05 18:00:00+00:00                  -0.004392   
1998-01-05 19:00:00+00:00                  -0.000031   
1998-01-05 20:00:00+00:00                   0.001315   
1998-01-05 21:00:00+00:00                   0.000906   
1998-01-06 14:00:00+00:00                  -0.005620   
1998-01-06 15:00:00+00:00                  -0.000219   
1998-01-06 16:00:00+00:00                  -0.003832   
1998-01-06 17:00:00+00:00                   0.000819   

                           pba_lh_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.005354   
1998-01-02 15:00:00+00:00                   0.005373   
1998-01-02 16:00:00+00:00                   0.002171   
1998-01-02 17:00:00+00:00                   0.003115   
1998-01-02 18:00:00+00:00                   0.002423   
1998-01-02 19:00:00+00:00                   0.003028   
1998-01-02 20:00:00+00:00                   0.005920   
1998-01-02 21:00:00+00:00                   0.001221   
1998-01-05 14:00:00+00:00                   0.004699   
1998-01-05 15:00:00+00:00                   0.005755   
1998-01-05 16:00:00+00:00                   0.004765   
1998-01-05 17:00:00+00:00                   0.004831   
1998-01-05 18:00:00+00:00                   0.005071   
1998-01-05 19:00:00+00:00                   0.006391   
1998-01-05 20:00:00+00:00                   0.006190   
1998-01-05 21:00:00+00:00                   0.000906   
1998-01-06 14:00:00+00:00                   0.009997   
1998-01-06 15:00:00+00:00                   0.003686   
1998-01-06 16:00:00+00:00                   0.004004   
1998-01-06 17:00:00+00:00                   0.001735   

                           pba_oa_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                   0.002961  
1998-01-02 15:00:00+00:00                  -0.002354  
1998-01-02 16:00:00+00:00                   0.000669  
1998-01-02 17:00:00+00:00                   0.001852  
1998-01-02 18:00:00+00:00                  -0.000957  
1998-01-02 19:00:00+00:00                  -0.000892  
1998-01-02 20:00:00+00:00                   0.002878  
1998-01-02 21:00:00+00:00                   0.000479  
1998-01-05 14:00:00+00:00                   0.000372  
1998-01-05 15:00:00+00:00                   0.003384  
1998-01-05 16:00:00+00:00                   0.001579  
1998-01-05 17:00:00+00:00                  -0.002730  
1998-01-05 18:00:00+00:00                  -0.002402  
1998-01-05 19:00:00+00:00                  -0.002324  
1998-01-05 20:00:00+00:00                  -0.000222  
1998-01-05 21:00:00+00:00                   0.000509  
1998-01-06 14:00:00+00:00                  -0.006669  
1998-01-06 15:00:00+00:00                  -0.001341  
1998-01-06 16:00:00+00:00                  -0.001478  
1998-01-06 17:00:00+00:00                   0.000308  


root: sp_500
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.000402   
1998-01-02 15:00:00+00:00                  -0.001205   
1998-01-02 16:00:00+00:00                  -0.000681   
1998-01-02 17:00:00+00:00                   0.002188   
1998-01-02 18:00:00+00:00                  -0.001977   
1998-01-02 19:00:00+00:00                  -0.002239   
1998-01-02 20:00:00+00:00                   0.006556   
1998-01-02 21:00:00+00:00                   0.001510   
1998-01-05 14:00:00+00:00                   0.000769   
1998-01-05 15:00:00+00:00                   0.003125   
1998-01-05 16:00:00+00:00                   0.003238   
1998-01-05 17:00:00+00:00                  -0.002678   
1998-01-05 18:00:00+00:00                  -0.005095   
1998-01-05 19:00:00+00:00                  -0.000185   
1998-01-05 20:00:00+00:00                   0.001868   
1998-01-05 21:00:00+00:00                   0.001158   
1998-01-06 14:00:00+00:00                  -0.006806   
1998-01-06 15:00:00+00:00                  -0.000763   
1998-01-06 16:00:00+00:00                  -0.004373   
1998-01-06 17:00:00+00:00                   0.001461   

                           pba_lh_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.003699   
1998-01-02 15:00:00+00:00                   0.004917   
1998-01-02 16:00:00+00:00                   0.001961   
1998-01-02 17:00:00+00:00                   0.002332   
1998-01-02 18:00:00+00:00                   0.002064   
1998-01-02 19:00:00+00:00                   0.003593   
1998-01-02 20:00:00+00:00                   0.006587   
1998-01-02 21:00:00+00:00                   0.001551   
1998-01-05 14:00:00+00:00                   0.003150   
1998-01-05 15:00:00+00:00                   0.004714   
1998-01-05 16:00:00+00:00                   0.003728   
1998-01-05 17:00:00+00:00                   0.003228   
1998-01-05 18:00:00+00:00                   0.005802   
1998-01-05 19:00:00+00:00                   0.005593   
1998-01-05 20:00:00+00:00                   0.005843   
1998-01-05 21:00:00+00:00                   0.001178   
1998-01-06 14:00:00+00:00                   0.010027   
1998-01-06 15:00:00+00:00                   0.003855   
1998-01-06 16:00:00+00:00                   0.004423   
1998-01-06 17:00:00+00:00                   0.001751   

                           pba_oa_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                   0.001827  
1998-01-02 15:00:00+00:00                  -0.002499  
1998-01-02 16:00:00+00:00                   0.000046  
1998-01-02 17:00:00+00:00                   0.001548  
1998-01-02 18:00:00+00:00                  -0.000705  
1998-01-02 19:00:00+00:00                  -0.001671  
1998-01-02 20:00:00+00:00                   0.002824  
1998-01-02 21:00:00+00:00                   0.001490  
1998-01-05 14:00:00+00:00                   0.001016  
1998-01-05 15:00:00+00:00                   0.002574  
1998-01-05 16:00:00+00:00                   0.001150  
1998-01-05 17:00:00+00:00                  -0.001706  
1998-01-05 18:00:00+00:00                  -0.002733  
1998-01-05 19:00:00+00:00                  -0.002293  
1998-01-05 20:00:00+00:00                  -0.000134  
1998-01-05 21:00:00+00:00                   0.001131  
1998-01-06 14:00:00+00:00                  -0.006341  
1998-01-06 15:00:00+00:00                  -0.001300  
1998-01-06 16:00:00+00:00                  -0.001885  
1998-01-06 17:00:00+00:00                   0.000623  


root: nasdaq_100
desc: fth thresh


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.003149   
1998-01-02 15:00:00+00:00                   0.003091   
1998-01-02 16:00:00+00:00                  -0.000752   
1998-01-02 17:00:00+00:00                   0.002999   
1998-01-02 18:00:00+00:00                  -0.001930   
1998-01-02 19:00:00+00:00                  -0.002044   
1998-01-02 20:00:00+00:00                   0.011292   
1998-01-02 21:00:00+00:00                   0.000337   
1998-01-05 14:00:00+00:00                   0.002113   
1998-01-05 15:00:00+00:00                   0.009991   
1998-01-05 16:00:00+00:00                   0.004637   
1998-01-05 17:00:00+00:00                  -0.000214   
1998-01-05 18:00:00+00:00                  -0.009282   
1998-01-05 19:00:00+00:00                   0.003333   
1998-01-05 20:00:00+00:00                  -0.003331   
1998-01-05 21:00:00+00:00                   0.000147   
1998-01-06 14:00:00+00:00                  -0.002644   
1998-01-06 15:00:00+00:00                  -0.004297   
1998-01-06 16:00:00+00:00                  -0.007902   
1998-01-06 17:00:00+00:00                   0.003672   

                           pba_lh_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.007418   
1998-01-02 15:00:00+00:00                   0.009527   
1998-01-02 16:00:00+00:00                   0.003074   
1998-01-02 17:00:00+00:00                   0.003452   
1998-01-02 18:00:00+00:00                   0.002476   
1998-01-02 19:00:00+00:00                   0.004043   
1998-01-02 20:00:00+00:00                   0.017512   
1998-01-02 21:00:00+00:00                   0.000893   
1998-01-05 14:00:00+00:00                   0.007545   
1998-01-05 15:00:00+00:00                   0.011167   
1998-01-05 16:00:00+00:00                   0.005942   
1998-01-05 17:00:00+00:00                   0.002466   
1998-01-05 18:00:00+00:00                   0.009664   
1998-01-05 19:00:00+00:00                   0.009307   
1998-01-05 20:00:00+00:00                   0.013104   
1998-01-05 21:00:00+00:00                   0.001250   
1998-01-06 14:00:00+00:00                   0.009188   
1998-01-06 15:00:00+00:00                   0.009345   
1998-01-06 16:00:00+00:00                   0.008194   
1998-01-06 17:00:00+00:00                   0.004680   

                           pba_oa_return_fth_of_xact  
id                                                    
1998-01-02 14:00:00+00:00                   0.005111  
1998-01-02 15:00:00+00:00                  -0.000393  
1998-01-02 16:00:00+00:00                  -0.000321  
1998-01-02 17:00:00+00:00                   0.001719  
