group: thresh_pba_dzn_normalize
root: dow_jones
desc: thresh_dzn


debug: s
                           pba_oc_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   0.401621   
1998-01-02 15:00:00+00:00                  -0.199658   
1998-01-02 16:00:00+00:00                  -0.041912   
1998-01-02 17:00:00+00:00                   0.599291   
1998-01-02 18:00:00+00:00                  -0.594350   
1998-01-02 19:00:00+00:00                  -0.239858   
1998-01-02 20:00:00+00:00                   1.423561   
1998-01-02 21:00:00+00:00                   0.273112   
1998-01-05 14:00:00+00:00                  -0.112429   
1998-01-05 15:00:00+00:00                   1.012660   
1998-01-05 16:00:00+00:00                   1.047515   
1998-01-05 17:00:00+00:00                  -1.047843   
1998-01-05 18:00:00+00:00                  -1.114800   
1998-01-05 19:00:00+00:00                  -0.018041   
1998-01-05 20:00:00+00:00                   0.320600   
1998-01-05 21:00:00+00:00                   0.217656   
1998-01-06 14:00:00+00:00                  -1.423745   
1998-01-06 15:00:00+00:00                  -0.065316   
1998-01-06 16:00:00+00:00                  -0.974010   
1998-01-06 17:00:00+00:00                   0.195846   

                           pba_oa_return_fth_of_xact  \
id                                                     
1998-01-02 14:00:00+00:00                   1.091858   
1998-01-02 15:00:00+00:00                  -0.877011   
1998-01-02 16:00:00+00:00                   0.242956   
1998-01-02 17:00:00+00:00                   0.680962   
1998-01-02 18:00:00+00:00                  -0.359545   
1998-01-02 19:00:00+00:00                  -0.335418   
1998-01-02 20:00:00+00:00                   1.060852   
1998-01-02 21:00:00+00:00                   0.172418   
1998-01-05 14:00:00+00:00                   0.132672   
1998-01-05 15:00:00+00:00                   1.248352   
1998-01-05 16:00:00+00:00                   0.579689   
1998-01-05 17:00:00+00:00                  -1.016010   
1998-01-05 18:00:00+00:00                  -0.894791   
1998-01-05 19:00:00+00:00                  -0.865901   
1998-01-05 20:00:00+00:00                  -0.087263   
1998-01-05 21:00:00+00:00                   0.183448   
1998-01-06 14:00:00+00:00                  -2.475184   
1998-01-06 15:00:00+00:00                  -0.501506   
1998-01-06 16:00:00+00:00                  -0.552497   
